Time,Oak,Pine,Grass,Arid,Rabbit,Wolf
4345,46881,10933,6122,11033,65,1
4369,46894,10942,6123,11022,65,1
4393,46897,10939,6111,11025,65,1
4417,46909,10940,6088,11039,65,1
4441,46926,10946,6081,11053,65,1
4465,46962,10942,6065,11038,64,1
4489,46987,10947,6049,11018,64,1
4513,46996,10945,6053,11019,64,1
4537,47022,10943,6031,10999,63,1
4561,47033,10937,6016,10978,63,1
4585,47051,10944,6006,10991,63,1
4609,47039,10943,6001,11003,63,1
4633,47062,10950,5989,11012,63,1
4657,47080,10947,5984,11012,63,1
4681,47091,10950,5962,10999,63,1
4705,47096,10947,5924,11004,63,1
4729,47109,10940,5927,11017,63,1
4753,47114,10939,5927,11000,63,1
4777,47104,10943,5915,10991,63,0
4801,47114,10939,5918,10974,63,0
4825,47148,10936,5915,10997,63,0
4849,47168,10940,5895,11003,63,0
4873,47169,10936,5876,11017,63,0
4897,47164,10950,5857,11009,63,0
4921,47167,10956,5841,10979,63,0
4945,47196,10959,5829,10976,63,0
4969,47206,10956,5832,10982,63,0
4993,47211,10957,5817,10969,63,0
